"#name","Адыгабзэм изэхэф гущыIалъ (Ady) (western)"
"чъыен","
(чъыеныр чъыягъэ)
гл. имасд. спать
ЦIыфыр чэщ-зымафэм къыкIоцI сыхьати 8 чъыен фае"
"чъыепырхъ","(чъыепырхъыр)
храп
Чъыезэ пырхъын
Чъые зыхъукIэ чъыепырхъ ео
Чъыепырхъ макъэ къэIу"
"чъыеуз","(чъыеузыр)
сонная болезнь
ЦIыфыр чъые шIоигъозэпытыныр ары
Чъыеуз иI
Чъыеузыр къыIукIагъ"
"чъын","(чъыныр чъыгъэ)
гл. имасд. затвердеть, застыть
Мыжъом фэдэу пытэ хъун
Пшахъомрэ цементымрэ псыкIэ зэхэпшIы	хьамэ чъын фае"
"чъыр","(чъырыр)
сталь
Чъыр лэныст"
"чъыягъэ","(мэчъые)
лъым. заснул, -а, -о; спал, -а, -о
КIалэр чъыягъэ
КIалэр кушъэм хэлъэу мэчъые"
"чъыягъэр","(чъыерэр)
зэм. прич. спавший, -ая, -ее
КIалэу чъыягъэр къыгъэущыгъэп"
"чъыяпх","(чъыяпхэр, чъыяпхэхэр)
соня
Чъыеныр зинэрыгъыр ары
КIэлэ чъыяпх"
"чъыIалI","(чъыIалIэр)
лихорадка
Техьагъу
ЧъыIалIэр къытехьагъ"
"чъыIэ"," 
(чъыIэр)
холод, холодный, -ая, -ое, къып. <<фабэ>>
КIымафэрэ дунаир чъыIэ мэхъу
КIалэр чъыIэ лIагъэ
Псы чъыIэкIэ зигъэпскIыгъ"
"чъыIэбжь","(чъыIэбжьыр)
легкий мороз
ЧъыIэ тIэкIу
Бжыхьэ пчэдыжьыр чъыIэбжь"
"чъыIэлIапх","(чъыIэлIапхэр, чъыIэлIапхэхэр)
мерзляк, мерзлячка
ЧъыIэ лIэзэпытырэр ары
Ар лIыжъ чъыIэлIапхэ хъугъэ"
"чъыIэтагъ","(чъыIэтагъэр)
прохлада
Пчэдыжь чъыIэтагъ
Жьэу тэджи чъыIэтагъэм мэкъу еуагъ"
"чъыIэшху","(чъыIэшхор)
сильный мороз, сильный холод
ЧъыIэ дэд
ЧъыIэшхо хъугъэ"
"чъэбзагъэ","(мэчъабзэ)
лъым. отстоялся, -лась, -лось, стал, -а, -о прозрачным
Къаргъо хъугъэ
Псыр чъэбзагъэ"
"чъэбзагъэр","(чъабзэрэр)
зэм. прич. ставший, -ая, -ее (прозрачным, -ной)
Псы чъэбзагъэр щайнычым ригъахъуи щай ыгъэжъуагъ"
"чъэгъу-чъэгъу","бегать по очереди
Зыр чъэмэ, етIанэ адрэр чъэзэ
Чъэгъу-чъэгъоу чъагъэх"
"чъэгъу","пора бежать, время бежать
Ичъэгъу къэсыгъ
Чъэгъу ифагъэп"
"чъэгъуагъэ","(мэчъагъо)
еплъ <<чъэбзагъэ>>"
"чъэжьыгъэ","(мэчъэжьы)
лъым. побежал, -а, -о (домой или туда, откуда бежал)
КIалэр ядэжь чъэжьыгъэ"
"чъэкIыгъэ","(мэчъэкIы)
лъым.
1. стек, -ла, -ло
Псыр кIэкIыгъ
Щыгъын уцIыныгъэр е гыкIыгъэр чъэкIыгъэ
2. побледнел, -а, -о
КIыфы хъугъэ
Щти, чъэкIыгъэ"
"чъэкIэ","нареч. бегом
Шыур чъэкIэ чылэм кIожьыгъэ"
"чъэн","
(чъэныр чъагъэ)
гл. имасд. бежать
ЛъэкIэу иIэмкIэ псынкIэу кIон
КIалэр чъэнкIэ ежьагъэу ятэ еджи къыгъэуцугъ
УкIыти чъэн ыдагъэп"
"чъэп","(чъэпыр)
иней; изморозь
БжыхьэкIэ пчэдыжьрэ унашъхьэмэ атыришIыхьэрэ сэхъыр ары
Чъэп къехыгъ
Чъэп уагъэ"
"чъэпхъыгъэ","(мэчъэпхъы)
лъым. просох, -ла, -ло
Гъушъыгъэ
ГыкIыгъэр чъэпхъыгъэ
Гъогур чъэпхъыгъэ"
"чъэпхъыгъэр","(чъэпхъырэр)
зэм. прич. просохший, -ая, -ее
Гъушъыгъэр
Пшъашъэм гыкIыгъэ чъэпхъыгъэр кIапсэм пихыжьэу щагум дэтыгъ"
"чъэр","(чъэрыр, чъэрхэр)
1. быстро бегающий, -ая, -ее
ЧъэнымкIэ ялыер ары
Шы чъэр
КIэлэ чъэр
2. стремительный, -ая, -ое (о реке и т. д.)
ПсынкIэу чъэрэр ары
Псы чъэр
Шъхьагуащэ псы чъэр"
"чъэрыгъ","скорость
ИчъэрыгъэкIэ ащ укIэхьащтэп"
"чъэхъугъэ","(мэчъэхъу)
лъым. побежал, -а, -о не туда, куда надо было
Зыдэмычъэн фаемкIэ чъагъэ
Шыур чъэхъугъэ"
"чъэхъугъэр","(чъэхъурэр)
зэм. прич. побежавший, -ая, -ее не туда, куда надо было
Зыдэмычъэн фэе лъэныкъомкIэ чъагъэм къыгъэзэжьыгъ"
"чъэхъун","(чъэхъуныр чъэхъугъэ)
гл. имасд. побежать не туда, куда надо
Зыдэмычъэн фаемкIэ чъэн
Шыур чъэхъункIэ ежьагъэу къызэтеуцуагъ"
"чъэшхо","(чъэшхор)
быстрый бег
Чъэ ин
Шы дэгъу — чъэшхо иI"
"чIапцIэ","(чIапцIэр)
темный, темно-серый, темно-синий (цвет)
ШхъонтIэ шIуцIашъу
Хъурышъо шхъонтIэ чIапцI"
"чIапIэ","(чIапIэр)
бжъ.
1. место
ЧIыпIэ
ЧIапIэр ыгъэнэфагъ
Ар ичIапIэ ит
2. место для сидения
Автобусым чIапIэ иIэжьэп"
"чIибгъагъ","(чIебгъэ)
лъыI. покрыл, -а, -о (соломой или осокой, камышом)
Бгъэны е уарзэ тырилъхьи чIиухъумагъ
Фыркъор чIибгъагъ"
"чIибгъагъэр","(чIибгъэрэр)
зыгъ. прич. покрытый, -ая, -ое
ЧIиухъумагъэр
Ащ фыркъоу чIибгъагъэр мыкI фырикъущт"
"чIибгъэн","(чIибгъэныр чIибгъагъэ)
гл. имасд. покрыть соломой или чем-нибудь
ЧIиухъумэн
Фыркъор чIибгъэнэу кIуагъэ"
"чIигъэбыгъ","(чIегъэбы)
лъыI.
1. окунул, -а, -о
Псы чIэгъ ышIыгъ
Щалъэр псым чIигъэбыгъ
2. ехьщ. погубил, -а, -о
ЫгъэкIодыгъ
Ащ иIоф чIигъэбыгъ"
"чIигъэбыгъэр","(чIигъэбырэр)
зыгъ. прич. то, что окунул, -а, -о
Пшъашъэм щалъэу чIигъэбыгъэм из псы къыхихыгъ"
"чIигъэбын","(чIигъэбыгъэ)
гл. имасд. окунуть
Щалъэр псым чIигъэбынэу фэягъэп"
"чIигъэбылъхьагъ","(чIегъэбылъхьэ)
1. езгъ. спрятал, -а, -о (под)
Зыгорэ тыриухъуми, ыгъэбылъыгъ
ЯтIэ тыриухъуми, чIигъэбылъхьагъ
2. ЫчIэгъ чIилъхьи, ыгъэбылъыгъ
ПIэкIор чIэгъым чIигъэбылъхьагъ"
"чIигъэбылъхьагъэр","(чIигъэбылъхьэрэр)
зыгъ. прич. спрятанный, -ая, -ое (под)
Зыгорэм ычIэгъ чIилъхьи, ыгъэбылъыгъэр
КIалэм пIэкIор чIэгъым чIигъэбылъхьагъэр къагъотыгъ"
"чIигъэзыкIыгъ","(чIегъэзыкIы)
езгъ. выгнал, -а, -о (из)
ЧIифыгъ
КIалэм чэмыр къакъырэм чIигъэзыкIыгъ"
"чIигъэзыкIыгъэр","(чIигъэзыкIырэр)
зыгъ. прич. выгнанный, -ая, -ое (из-под, из)
ЧIифыгъэр
КIалэм чэмэу къакъырэм чIигъэзыкIыгъэр щагум дифи хъуакIо ыфыгъ"
"чIигъэзыхьагъ","(чIегъэзыхьэ)
езгъ. загнал, -а, -о (в, под)
ЧIигъэхьагъ
Чэмыр къакъырэм чIигъэзыхьагъ"
"чIигъэзыхьагъэр","(чIигъэзыхьэрэр)
зыгъ. прич. загнанный, -ая, -ое (в, под)
Шэу къакъырэм чIигъэзыхьагъэр къыубыти шхо тырилъхьагъ"
"чIигъэкIыгъ","(чIегъэкIы)
езгъ. заставил, -а, -о выйти (из)
Бгъагъэу зэрысым ригъэкIыгъ
Зыем кIалэр унэм чIигъэкIыгъ"
"чIигъэкIыгъэр","(чIигъэкIырэр)
зыгъ. прич. тот, кого заставили выйти (из)
РигъэкIыгъэр
КIалэу унэм чIигъэкIыгъэр общежитием чIагъэхьагъ"
"чIигъэнагъ","(чIегъанэ)
езгъ. воткнул, -а, -о
ЧIиIугъ
ЛIым куахъор пхъэшъхьакIэм чIигъэнагъ"
"чIигъэлъыгъ","(чIегъэлъы)
езгъ. заставил, -а, -о лежать (под)
ЧIилъхьи щигъэлъыгъ
Картофыр чIитIи гъатхэ нэскIэ чIигъэлъыгъ
Сымаджэм ыблыгучIэ термометрэр такъикъитфэ чIигъэлъыгъ"
"чIигъэлIыхьагъ","I (чIегъэлIыхьэ)
езгъ.
1. уморил, -а, -о его (в, под)
ЧIидзи къыримыгъэкIэу чIигъэлIыхьагъ
2. измучил, -а, -о
Киноум кIалэр фабэм чIигъэлIыхьагъ
II (чIегъэлIыхьэ)
езгъ. заставил, -а, -о страдать (от жары и духоты)
Жьы римыгъэгъотэу ыгъэпагъ
ЧхыIаным чIиухъуми, кIалэр чIигъэлIыхьагъ"
"чIигъэпэмагъ","(чIегъэпамэ)
езгъ. заставил, -а, -о понюхать (внутри)
Жьы къыщригъэщагъ
КIалэр чIыунэм чIигъэпэмагъ"
"чIигъэсыгъ","(чIегъэсы)
езгъ.
1. заставил, -а, -о сидеть (в, под)
ЧIидзи, ригъэсыгъ
Хьапсым чIидзи чIигъэсыгъ
2. разрешил, -а, -о жить
Унэ рити чIигъэсыгъ"
"чIигъэсыгъэр","(чIигъэсырэр)
зыгъ. прич. тот, кого принудили сидеть (в, под)
Хьапсым чIидзи чIигъэсыгъэр къычIэкIыжьыгъ"
"чIигъэтыгъ","(чIегъэты)
езгъ. заставил, -а, -о стоять (под)
ЧIигъахьи щигъэтыгъ
КIалэр чIыунэм чIигъахьи бэрэ чIигъэтыгъ
Щэр чIыунэм чIигъэуцуи чIигъэтыгъ"
"чIигъэтыгъэр","(чIигъэтырэр)
зыгъ. прич. тот, кого заставили стоять (в, под)
ЧIигъэуцуи чIэтыгъэр
Пхъэчаеу чIыунэм чIигъэтыгъэр къычIихыжьыгъ"
"чIигъэтIысхьагъ","(чIегъэтIысхьэ)
езгъ.
1. посадил, -а, -о (в, под)
ЩигъэтIысыгъ
Янэ кIалэр жьаум чIигъэтIысхьагъ
2. пустил, -а, -о
ЧIэсынэу ригъэхьагъ
Быныр иунэ чIигъэтIысхьагъ"
"чIигъэтIысхьагъэр","(чIигъэтIысхьэрэр)
зыгъ. прич. посаженный, -ая, -ое
ЩигъэтIысыгъэр
КIалэм лIыжъэу жьаум чIигъэтIысхьагъэм Iанэ фихьыгъ"
"чIигъэуагъ","(чIегъао)
езгъ. окунул, -а, -о
ЧIигуагъ
КIалэр псым чIигъэуагъ
Ышъхьэ псым чIигъэуагъ"
"чIигъэукIорэягъ","(чIегъэукIорае)
езгъ. подкатил, -а, -о (под), вкатил, -а, -о (в)
ЫгъэукIорэйзэ рихьагъ
Пхъэчаир чIыунэм чIигъэукIорэягъ"
"чIигъэукIорэягъэр","(чIигъэукIораерэр)
зыгъ. прич. то, что он вкатил, -а, -о (в); то, что он подкатил, -а, -о (под)
ЫгъэукIорэйзэ рихьагъэр
Пхъэчаеу чIыунэм чIигъэукIорэягъэм нэшэбэгу изыгъ"
"чIигъэуцожьыгъ","(чIегъэуцожьы)
езгъ. вновь поставил, -а, -о (вниз, под)
ИкIэрыкIэу чIихи ыгъэуцужьыгъ
Пхъэчаеу чIыунэм къычIихыгъагъэр чIигъэуцожьыгъ"
"чIигъэуцуагъ","(чIегъэуцо)
езгъ. поставил, -а, -о (под)
ЧIихьи ыгъэуцугъ
Пхъэчаир чIыунэм чIигъэуцуагъ
Табэр мэкIай чIэгъым чIигъэуцуагъ"
"чIигъэуцуагъэр","(чIигъэуцорэр)
зыгъ. прич. поставленный, -ая, -ое (под, в)
ЧIихьи ыгъэуцугъэр
Пхъэчаеу чIыунэм чIигъэуцуагъэм къэбэскъэ шIоIугъэ илъ"
"чIигъэфагъ","(чIегъафэ)
езгъ. уместил, -а, -о (в, под)
Ригъэфагъ
Пхъэр къакъырэм чIигъэфагъ"
"чIигъэфагъэр","(чIигъафэрэр)
зыгъ. прич. то, что уместил, -а, -о (в, под)
Ригъэфагъэр
Пхъэу къакъырэм чIигъэфагъэр бэ"
"чIигъэфэн","(чIигъэфэныр чIигъэфагъ)
гл. имасд. уместить
Пхъэу къыщагъэр къакъырэм чIигъэфэн ылъэкIыгъэп"
"чIигъэхьагъ","(чIегъахьэ)
езгъ.
1. впустил, -а, -о
ЧIигъэтIысхьагъ
Унэр зыем студентыр иунэ чIигъэхьагъ
2. заставил, попросил спуститься
Ятэ кIалэр чIыунэм чIигъэхьагъ
3. устроил, -а, -о (в)
Янэ кIалэр школым чIигъэхьагъ"
"чIигъэхьагъэр","(чIигъэхьэрэр)
зыф. прич.
1. впущенный, -ая, -ое
Ригъэхьагъэр
Ащ иунэ кIалэу чIигъэхьагъэм ыпкIэ къыреты
2. посланный, -ая, -ое (вниз)
КIалэу ятэ чIыунэм чIигъэхьагъэм нэшэбэгу шIоIу къычIыригъэхыгъ"
"чIигъэшъухьагъ","(чIегъэшъухьэ)
езгъ. сгноил, -а, -о (под)
ЧIилъхьи чIэлъзэ ыгъэшъугъ
Шъор лъэчIасэм чIигъэшъухьагъ"
"чIигъэшIыхьагъ","(чIегъэшIыхьэ)
езгъ. прожил, -а, -о (в)
ЧIэсзэ ыгъэшIагъ
Ащ егъашIэр а унэм чIигъэшIыхьагъ"
"чIигъэшIыхьагъэр","(чIигъэшIыхьэрэр)
зыгъ. прич. прожитый, -ая, -ое (в, под)
ЧIэсзэ ыгъэшIагъэр
Ащ а унэм чIигъэшIыхьагъэр тхъэзэ ыгъэшIагъ"
"чIигъэщтыхьагъ","(чIегъэщтыхьэ)
езгъ. заморозил, -а, -о (в)
ЧIэлъзэ щтыгъэ
Лыр чъыIэм чIыунэм чIигъэщтыхьагъ"
"чIигъэIэбагъ","(чIегъэIабэ)
езгъ.
1. заставил, -а, -о полезть рукой (под, в)
IэкIэ ычIэгъ ригъэIагъ
КIалэр пIэкIор чIэгъым чIигъэIаби, чIэфагъэр къычIыригъэхыжьыгъ
2. обманул, -а, -о; провел, -а, -о; оставил с носом
Ыгъэделагъ
Ащ ар чIигъэIэбагъ"
"чIидзагъ","(чIедзэ)
лъыI. бросил, -а, -о (в)
1. БзэджашIэр хьапсым чIидзагъ
2. Ыдзи, чIигъэфагъ
Пхъэр къакъырэм чIидзагъ"
"чIидзыгъ","(чIедзы)
лъыI.
1. бросил, -а, -о (на)
ЧIым тыридзагъ
Зэбэнырэ кIэлитIум язрэм язрэр къыIэти чIидзыгъ
Пыим шхончыр чIидзи ыIэ къыIэтыгъ
2. выбросил, -а, -о
Пхъэр къакъырэм чIидзыгъ"
"чIидзыжьыгъ","(чIедзыжьы)
лъыI. выбросил, -а, -о
Фэмыежьэу чIидзыжьыгъ
Ылъакъо зэхъужьым бэщыр чIидзыжьыгъ
КIалэм икIэщыгъо зекIым джэгуалъэр чIидзыжьыгъ"
"чIидзыжьыгъэр","(чIидзыжьырэр)
зыгъ. прич. выброшенный, -ая, -ое
Зыфэмыежьэу чIидзыжьыгъэр
КIалэм джэгуалъэу чIидзыжьыгъэр янэ нэмыкI горэм ритыжьыгъ"
"чIижъухьагъ","(чIежъухьэ)
лъыI. запахал, -а, -о
Жъуагъэм ычIэгъ ышIыгъ
Ебз хитакъуи чIижъухьагъ"
"чIижъухьагъэр","(чIижъухьэрэр)
зыгъ. прич. запаханный, -ая, -ое
КIалэр жъо зэхъум картофэу чIижъухьагъэр дэгъоу къэкIыгъ"
"чIизыгъ","(чIиз)
зыпI. гл. было полно (в)
1. Изэу исыгъ
Клубым цIыфыр чIизыгъ
2. Изэу илъыгъ
ЧIыунэм картоф чIиз"
"чIикуагъ","(чIеко)
лъыI. сунул, -а, -о (в, под)
ЫчIэгъ чIигъэзыхьагъ
Iэтэ чIэгъым чIикуагъ
IонтIэ пакIэр Iэтэ лъапсэм чIикуагъ"
"чIилъхьагъ","(чIелъхьэ)
лъыI.
1. положил, -а, -о (под)
ЫчIэгъ чIилъхьагъ
Ахъщэр шъхьантэ чIэгъым чIилъхьагъ
2. положил, -а, -о (в)
Пхъэр къакъырэм чIилъхьагъ
3. поставил, -а, -о
Щалъэм чIэ чIилъхьагъ"
"чIилъхьагъэр","(чIилъхьэрэр)
зыгъ. прич.
1. положенный, -ая, -ое (в)
Пхъэу къакъырэм чIилъхьагъэр бэ
2. поставленный, -ая, -ое
Щалъэм чIэу чIилъхьагъэр дэгъоу чIилъхьагъ"
"чIилъхьажьыгъ","(чIелъхьажьы)
лъыI. обратно положил, -а, -о
Пхъэу къэнагъэр къакъырэм чIилъхьажьыгъ
Ахъщэр шъхьантэ чIэгъым къычIихи, чIилъхьажьыгъ"
"чIинагъ","(чIенэ)
лъыI. потерял, -а, -о
Ахъщэр чIинагъ
ЧIинагъэр бэ"
"чIисагъ","(чIесэ)
лъыI. воткнул, -а, -о (в)
ЧIиIугъ
Пчэгъур чIисагъ
Куахъор чIисагъ"
"чIисагъэр","(чIисэрэр)
зыгъ. прич. воткнутый, -ая, -ое (в)
ЧIиIугъэр
Ащ пчэгъоу чIисагъэр пытэу чIисагъ"
"чIитхъыгъ","(чIетхъы)
лъыI. оторвал, -а, -о (снизу)
Матэм ычIэ чIитхъыгъ"
"чIитIагъ","(чIетIэ)
лъыI. закопал, -а, -о
ЧIы чIэгъым къазгъыркIэ чIиухъумагъ
Картофыр чIитIагъ"
"чIитIагъэр","(чIитIэрэр)
зыгъ. прич. закопанный, -ая, -ое
Картофэу чIитIагъэр къычIихыжьыгъ"
"чIитIыкIыгъ","(чIетIыкIы)
лъыI. прорыл, -а, -о (снизу)
ЫчIэгъ ытIыгъ
Нэпкъыр чIитIыкIыгъ
Унэ лъапсэр чIитIыкIыгъ"
"чIитIупщыгъ","(чIетIупщы)
лъыI. выпустил, -а, -о (из)
ЧIигъэкIыгъ
ЕджапIэм илъэс къэс нэбгырэ пчъагъэ къычIетIупщы"
"чIиукIыхьагъ","(чIеукIыхьэ)
лъыI. убил, -а, -о (в, под)
ЫукIи чIигъэлIыхьагъ
Блэр къакъырэм чIиукIыхьагъ"
"чIиутыгъ","(чIеуты)
лъыI. выбил, -а, -о (дно), подмыл, -а, -о (берег)
ЫчIэ чIиутыгъ
Псым нэпкъ лъапсэр чIиутыгъ
Псым нэпкъ лъапсэр чIиутыгъ"
"чIиутыгъэр","(чIиутырэр)
зыгъ. прич. выбитый, -ая, -ое
Пхъэчаим ычIэу чIиутыгъэр чIаригъэлъхьажьыгъ"
"чIиухыхьагъ","(чIеухыхьэ)
лъыI. израсходовал, -а, -о; истратил, -а, -о (в)
ЧIэсзэ ыухыгъ
Ахъщэу иIэр шхапIэм чIиухыхьагъ"
"чIиухъумагъ","(чIеухъумэ)
лъыI. гл. накрыл, -а, -о
ЧIиуцухьагъ
ЯтIэ тыритакъуи чIиухъумагъ
Абанэм картофыр рилъхьи чIиухъумагъ"
"чIиухъумагъэр","(чIиухъумэрэр)
зыгъ. прич. накрытый, -ая, -ое
Зыгорэхэр зытырихъуагъэр
Шъузым тхьацоу чIиухъумагъэр къэтэджыгъ
ХэташIэм къэбаскъэу ятIэкIэ чIиухъумагъэр гъатхэм къычIихыжьыгъ"
"чIиуцухьагъ","(чIеуцухьэ)
лъыI. накрыл, -а, -о
Сымаджэм фабэхэр тырихъуи чIиуцухьагъ"
"чIифыгъ","(чIефы)
лъыI. выгнал, -а, -о
ЧIигъэкIыгъ
Унэм чIэсыр чIифыгъ"
"чIифыгъэр","(чIифырэр)
зыгъ. прич. выгнанный, -ая, -ое (из)
ЧIигъэкIыгъэр
Ащ унэм чIифыгъэр унэнчъэу къэнагъ"
"чIихьагъ","(чIехьэ)
лъыI.
1. утонул, -а, -о
Псы чIэгъым ехыгъ
Къухьэр чIихьагъ
2. внес, -ла, -ло
Къакъырэм дзыохэр чIихьагъэх"
"чIихьагъэр","(чIихьэрэр)
зыгъ. прич. утонувший, -ая, -ее
Къухьэу псым чIихьагъэр къычIахыжьыгъ
внесенный, -ая, -ое
Къакъырым дзыохэу чIихьагъэхэм лэжьыгъэ арылъыгъ"
"чIищагъ","(чIещэ)
лъыI. ввел, -а, -о (в)
ЧIигъэхьагъ
Шыр шэщым чIищагъ
Ятэ кIалэр киноум чIищагъ"
"чIищагъэр","(чIищэрэр)
зыгъ. прич. введенный, -ая, -ое (в)
КIалэм шэу шэщым чIищагъэм Iус ритыгъ"
"чIищыгъ","(чIещы)
лъыI. вывел, -а, -о (из)
ЗычIэтым чIищыгъ
Шыр шэщым чIищыгъ"
"чIиIугъ","(чIеIу)
лъыI. воткнул, -а, -о
ЧIисагъ
Бэщыр пхъэшъхьакIэм чIиIугъ"
"чIы","(чIыр)
земля
ЧIыгу
ЧIыр къат-къатэу зэтелъ
◊ ЧIы къат — слой земли
◊ ЧIы чIэгъ — подземелье
Москва чIы чIэгъ мэшIокухэр иIэх
◊ ЧIы кIыIу — на земле, поверхность земли
ЧIы кIыIум тетыр бэ"
"чIыбжь","(чIыбжьэр, чIыбжьэхэр)
шмель
ЧIым гъуанэ фэзышIэу чIэсрэ бжьэ лъэпкъ
ЧIыбжьэхэр къэгъагъэмэ атесых"
"чIыбзыу","
(чIыбзыур, чIыбзыухэр)
сверчок
ХьацIэ-пIацIэмэ ащыщ
ЧIыбзыухэр гъэмэфэ чэщым мэцIыргъых"
"чIыгу","
(чIыгур)
1. земля
Тыгъэм епхыгъэ планетэмэ ащыщэу зигургъ щычэрэзэу ыкIи тыгъэр къэзыкIухьэрэр ары
ЧIыгум тыгъэр илъэсым къыкIоцI зэ къекIухьэ
2. суша
Псым фэшъхьафрэ гъушъэр ары
Къухьэм тет цIыфмэ чIыгур алъэгъугъ
3. почва
ЧIышъхьашъо къатыр ары
ЧIыгур ажъуагъ
ЧIыгу дэир бгъэшIумэ, лэжьыгъэр дэгъоу къыщэкIы
4. участок
Пачъыхьагъо Урысыем иуахътэ чIыгум инахьыбэ дэдэр помещикхэмэ аIыгъыгъ
5. территория
Зыгорэм ичIыгу щыщэу залэ щизи тыфаеп, тэ тичIыгу щыщэу зы тIуали зыми еттынэп"
"чIыгугъэшIу","(чIыгугъэшIур)
удобрение
ЧIыгур нахьышIу шIыгъэным пае халъхьэрэр ары
ЧIыгум минерал чIыгугъэшIухэр халъхьэх"
"чIыд","(чIыдэр)
арахис
Джэнчым фэдэу къыпыкIэрэр чIым къычIахырэ лъэпкъ
ЧIыдэр пшхынкIэ дэгъу"
"чIыкъу","(чIыкъор, чIыкъохэр)
барсук
ЧIыкъор мэзым щэшакIо"
"чIыкIэ","(чIыкIэр)
целина
Амыжъогъахэу е бэшIагъэу амыжъогъэ чIыгур ары
ЧIыкIэм лэжьыгъэу щыпшIэрэр мэбагъо"
"чIыналъ","(чIыналъэр)
1. суша
ЧIыналъэм фэдэ къытехъуагъэп
ЧIыналъэм текIи хым техьагъ
2. земля
ЧIыналъэр ыгъэгырзэу танкхэр блэкIыгъэх"
"чIынд","(чIындэр, чIындэхэр)
название растения
Мэз чIэгъым къычIэкIэрэ уц лъэпсэ хъурэе фыжь цIыкIу
КIалэхэр чIындахьэ мэзым макIох
ЧIындэ пIастэ ашIэу мэхъу"
"чIыох","(чIыохыр, чIыоххэр)
низина, низменность
КIэй, лъэгу
ЧIыохым псыр къиумэ къытео
ЧIыохым мэкъупIэхэр илъ"
"чIыпцIэ","(чIыпцIэр)
чернозем
ТичIыгухэр чIыпцIэх
ЧIыпцIэм лэжьыгъэр щэбагъо"
"чIыпIакIэ","(чIыпIакIэр, чIыпIакIэхэр)
новое место
ХэпIакIэ
ЧIыпIакIэ итIысхьагъ"
"чIыпIэ","
(чIыпIэр)
1. место
Школыр зыщашIыщт чIыпIэр агъэнэфагъ
Зы чIыпIэ изагъэрэп
2. район, область
ЧIыпIэ зэфэшъхьафмэ къарыкIыгъэ цIыфхэр щыIагъэх"
"чIырыкIу","(чIырыкIор, чIырыкIохэр)
топинамбур
Картофым ехьщыр лъэпсэрыкI лъэпкъ
ЧIырыкIор хатэмэ къадэкIэ
ЧырыкIор зэрэцIынэу ашхы"
"чIытIыр","(чIытIырыр, чIытIырхэр)
окоп, канава, укрепление
Шыр чIытIырым ригъэлъагъ"
"чIыфэ","(чIыфэр, чIыфэхэр)
заем, долг
Агъэфедэнышъ, ратыжьынэу зыгорэм къыIахырэр
Ахъщэ чIыфэр птыжьын фае
◊ ЧIыфэлы хъугъэ — задолжал, -а, -о (много)
ЧIыфэ бэу телъ хъугъэ"
"чIыфэжъы","(чIыфэжъыр, чIыфэжъхэр)
старый долг
БэшIагъэу аштэгъэ чIыф
ЧIыфэжъыр тыжьыгъуае"
"чIыхъумбый","(чIыхъумбыир, чIыхъумбыйхэр)
крот
ЧIыхъумбыйнэшъу
ЧIыхъумбыим чIыр зэхетIыхьэ
ЧIыхъумбый ятI"
"чIыхьажъу","(чIыхьажъур, чIыхьажъухэр)
хомяк
ЧIы гъуанэм ипшыхьажьырэ псэушъхьэмэ ащыщ
ЧIыхьажъум фэд"
"чIышъхьашъу","(чIышъхьашъор)
поверхность земли
ЧIышъхьашъом уцхэр къытекIэх"
"чIэ","(чIэр)
дно
КонычIэм коц тIэкIу илъ
ЫчIэ иплъыхьагъ
Псыр куу, чIэ иIэп"
"чIэбыбагъ","(чIэбыбэ)
лъым. залетел, -а, -о (в)
Быбызэ чIэхьагъ
Бзыур къакъырэм чIэбыбагъ"
"чIэбыбагъэр","(чIэбыбэрэр)
зэм. прич. залетевший, -ая, -ее
Тхьаркъоу къакъырэм чIэбыбагъэр тIэкIу зытешIэм къычIэбыбы-кIыжьыгъ"
"чIэбыгъ","(чIэбы)
лъым. погрузился, -лась, -лось в воду
Псы чIэгъы хъугъэ
Щалъэр псым чIэбыгъ"
"чIэбыгъэр","(чIэбырэр)
зэм. прич. погрузившийся, -аяся, -ееся
Щалъэу псым чIэбыгъэр ычIэ етIысэхыгъ"
"чIэбыбыкIыгъ","(чIэбыбыкIы)
лъым. вылетел, -а, -о (из)
Бзыур къакъырэм чIэбыбыкIыгъ"
"чIэбыбыкIыгъэр","(чIэбыбыкIырэр)
зэм. прич. вылетевший, -ая, -ее (из)
Тхьаркъоу къакъырэм чIэбыбыкIыгъэр къакъырашъхьэм тетIысхьагъ"
"чIэбыбэжьыгъ","(чIэбыбэжьы)
лъым. залетел, -а, -о вновь (в, под)
Тхьаркъор къызычIэбыбыкIыгъэгъэ къакъырэм чIэбыбэжьыгъ"
"чIэбгъагъ","(чIэбгъагъэр)
бл. уахъ. иприч. накрыт, -а, -о (соломой, травой)
УарзэкIэ чIэбгъэгъэ фыркъор къычIахыгъ"
"чIэгуагъ","(чIэгуагъэр)
бл. уахъ. иприч. набит, -а, -о
ЧIэгукIагъ
Къакъырэм чIэгуагъэу пхъэр чIэлъ"
"чIэгукIагъ","(чIэгукIагъэр)
бл. уахъ. иприч. еплъ <<чIэгуагъ>>"
"чIэгъолъхьагъ","(чIэгъуалъхьэ)
лъым. лег, -ла, -ло (под)
Чъыг чIэгъым чIэгъолъхьагъ
Сымаджэр сымэджэщым чIэгъолъхьагъ"
"чIэгъолъхьагъэр","(чIэгъуалъхьэрэр)
зэм. прич. легший, -ая, -ее (под)
ЛIэу чъыг чIэгъым чIэгъолъхьагъэр чъыягъэ
Сымаджэу сымэджэщым чIэгъолъхьагъэр хъужьыгъэ"
